Date,Price
3/26/2018,8733.95
3/25/2018,8788.9
3/24/2018,9080
3/23/2018,8900
3/22/2018,9050
3/21/2018,9149.27
3/20/2018,8768.3
3/19/2018,8320
3/18/2018,8077.1
3/17/2018,8488.65
3/16/2018,8464
3/15/2018,8828.65
3/14/2018,9570
3/13/2018,9500.1
3/12/2018,9788.42
3/11/2018,9110.22
3/10/2018,9504
3/9/2018,9855
3/8/2018,10390.69
3/7/2018,10942.15
3/6/2018,11550
3/5/2018,11583
3/4/2018,11678
3/3/2018,11240
3/2/2018,11070
3/1/2018,10728
2/28/2018,10887.89
2/27/2018,10574
2/26/2018,9994
2/25/2018,10190
2/24/2018,10591
2/23/2018,10266
2/22/2018,10880
2/21/2018,11758
2/20/2018,11265
2/19/2018,10761
2/18/2018,11215
2/17/2018,10290
2/16/2018,10219.31
2/15/2018,9497.99
2/14/2018,8832.74
2/13/2018,8975.69
2/12/2018,8360
2/11/2018,8863.4
2/10/2018,8730
2/9/2018,8545.17
2/8/2018,8060.12
